data,currency_code,value
Julho 1940,Rs,240$000
Janeiro 1943,Cr$,300.00
Dezembro 1943,Cr$,380.00
Janeiro 1952,Cr$,1200.00
Julho 1954,Cr$,2400.00
Agosto 1956,Cr$,3800.00
Janeiro 1959,Cr$,6000.00
Outubro 1960,Cr$,9600.00
Outubro 1961,Cr$,13440.00
Janeiro 1963,Cr$,21000.00
Fevereiro 1964,Cr$,42000.00
Fevereiro 1965,Cr$,66000.00
Março 1966,Cr$,84000.00
Março 1967,NCr$,105.00
Março 1968,NCr$,129.60
Maio 1969,NCr$,156.00
Maio 1970,NCr$,187.20
Maio 1971,Cr$,225.60
Maio 1972,Cr$,268.80
Maio 1973,Cr$,312.00
Maio 1974,Cr$,376.80
Dezembro 1974,Cr$,415.20
Maio 1975,Cr$,532.80
Maio 1976,Cr$,768.00
Maio 1977,Cr$,1106.40
Maio 1978,Cr$,1560.00
Maio 1979,Cr$,2268.00
Novembro 1979,Cr$,2932.80
Maio 1980,Cr$,4149.60
Novembro 1980,Cr$,5788.80
Maio 1981,Cr$,8464.80
Novembro 1981,Cr$,11928.00
Maio 1982,Cr$,16608.00
Novembro 1982,Cr$,23568.00
Maio 1983,Cr$,34776.00
Novembro 1983,Cr$,57120.00
Maio 1984,Cr$,97176.00
Novembro 1984,Cr$,166560.00
Maio 1985,Cr$,333120.00
Novembro 1985,Cr$,600000.00
Março 1986,Cz$,804.00
Janeiro 1987,Cz$,964.80
Março 1987,Cz$,1368.00
Maio 1987,Cz$,1641.60
Junho 1987,Cz$,1969.92
Agosto 1987,Cz$,1970.00
Setembro 1987,Cz$,2400.00
Outubro 1987,Cz$,2640.00
Novembro 1987,Cz$,3000.00
Dezembro 1987,Cz$,3600.00
Janeiro 1988,Cz$,4500.00
Fevereiro 1988,Cz$,5280.00
Março 1988,Cz$,6240.00
Abril 1988,Cz$,7260.00
Maio 1988,Cz$,8712.00
Junho 1988,Cz$,10368.00
Julho 1988,Cz$,12444.00
Agosto 1988,Cz$,15552.00
Setembro 1988,Cz$,18960.00
Outubro 1988,Cz$,23700.00
Novembro 1988,Cz$,30800.00
Dezembro 1988,Cz$,40425.00
Janeiro 1989,NCz$,63.90
Maio 1989,NCz$,81.40
Junho 1989,NCz$,120.00
Julho 1989,NCz$,149.80
Agosto 1989,NCz$,192.88
Setembro 1989,NCz$,249.48
Outubro 1989,NCz$,381.73
Novembro 1989,NCz$,557.31
Dezembro 1989,NCz$,788.12
Janeiro 1990,NCz$,1283.95
Fevereiro 1990,NCz$,2004.37
Março 1990,NCz$,3674.06
Abril 1990,Cr$,3674.06
Maio 1990,Cr$,3674.06
Junho 1990,Cr$,3857.66
Julho 1990,Cr$,4904.76
Agosto 1990,Cr$,5203.46
Setembro 1990,Cr$,6056.31
Outubro 1990,Cr$,6425.14
Novembro 1990,Cr$,8329.55
Dezembro 1990,Cr$,8836.82
Janeiro 1991,Cr$,12325.60
Fevereiro 1991,Cr$,15895.46
Março 1991,Cr$,17000.00
Setembro 1991,Cr$,42000.00
Janeiro 1992,Cr$,96037.33
Maio 1992,Cr$,230000.00
Setembro 1992,Cr$,522186.94
Janeiro 1993,Cr$,1250.700.00
Março 1993,Cr$,1709.400.00
Maio 1993,Cr$,3303.300.00
Julho 1993,Cr$,4639.800.00
Agosto 1993,CR$,5534.00
Setembro 1993,CR$,9606.00
Outubro 1993,CR$,12024.00
Novembro 1993,CR$,15021.00
Dezembro 1993,CR$,18760.00
Janeiro 1994,CR$,32882.00
Fevereiro 1994,CR$,42829.00
Março 1994,R$,64.79
Julho 1994,R$,64.79
Setembro 1994,R$,70.00
Maio 1995,R$,100.00
Maio 1996,R$,112.00
Maio 1997,R$,120.00
Maio 1998,R$,130.00
Maio 1999,R$,136.00
Abril 2000,R$,151.00
Abril 2001,R$,180.00
Abril 2002,R$,200.00
Abril 2003,R$,240.00
Maio 2004,R$,260.00
Maio 2005,R$,300.00
Abril 2006,R$,350.00
Abril 2007,R$,380.00
Março 2008,R$,415.00
Fevereiro 2009,R$,465.00
Janeiro 2010,R$,510.00
Janeiro 2011,R$,542.50
Janeiro 2012,R$,622.00
Janeiro 2013,R$,678.00
Janeiro 2014,R$,724.00
Janeiro 2015,R$,788.00
Janeiro 2016,R$,880.00
Janeiro 2017,R$,937.00
Janeiro 2018,R$,954.00
Janeiro 2019,R$,998.00
Janeiro 2020,R$,1039.00
Fevereiro 2020,R$,1045.00
Janeiro 2021,R$,1100.00
Janeiro 2022,R$,1212.00
